sample_id,sample_name,group,treatment,replicate,description
S813_16Sv3v4_01,Amostra_01,liquen,saudavel,1,Amostra de liquen
S813_16Sv3v4_02,Amostra_02,liquen,saudavel,2,Amostra de liquen
S813_16Sv3v4_03,Amostra_03,musgo,rupicula,1,Amostra de musgo
S813_16Sv3v4_04,Amostra_04,musgo,rupicula,2,Amostra de musgo
S813_16Sv3v4_05,Amostra_05,mel,A,1,Amostra de mel de Scaptotrigona depilis
S813_16Sv3v4_06,Amostra_06,mel,B,2,Amostra de mel de Melipona quadrifasciata
S813_16Sv3v4_07,Amostra_07,mel,C,3,Amostra de mel de Tetrabonisca angustula
S813_16Sv3v4_NN,Controle_Negativo,Controle,Nenhum,NA,Controle negativo de extração/PCR
